Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Linear,Quadratic,70-30,0.7,OGC,Linear,0.8299791811242193,0.755
Non-Linear,Quadratic,70-30,0.7,OGC,Kernel,0.8775948460987831,0.829
Non-Linear,Quadratic,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,Quadratic,70-30,0.7,SCW,Kernel,0.7703435804701627,0.6825
Non-Linear,Quadratic,70-30,0.7,RDA,Linear,0.812012012012012,0.687
Non-Linear,Quadratic,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,Quadratic,70-30,0.7,AdaRDA,Linear,0.8128374325134973,0.688
Non-Linear,Quadratic,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,Quadratic,90-10,0.9,PA,Linear,0.6489738145789101,0.504
Non-Linear,Quadratic,90-10,0.9,PA,Kernel,0.9548851370052588,0.9185
Non-Linear,Quadratic,90-10,0.9,Perceptron,Linear,0.7697772037455602,0.6435
Non-Linear,Quadratic,90-10,0.9,Perceptron,Kernel,0.9491242702251876,0.9085
Non-Linear,Quadratic,90-10,0.9,AROW,Linear,0.7022222222222222,0.5645
Non-Linear,Quadratic,90-10,0.9,AROW,Kernel,0.933074146070536,0.8795
Non-Linear,Quadratic,90-10,0.9,OGC,Linear,0.9177885992552277,0.8565
Non-Linear,Quadratic,90-10,0.9,OGC,Kernel,0.949944382647386,0.91
Non-Linear,Quadratic,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,Quadratic,90-10,0.9,SCW,Kernel,0.9253146853146853,0.8665
Non-Linear,Quadratic,90-10,0.9,RDA,Linear,0.8648648648648649,0.7675
Non-Linear,Quadratic,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,Quadratic,90-10,0.9,AdaRDA,Linear,0.8680555555555556,0.772
Non-Linear,Quadratic,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,HighCurve,50-50,0.5,PA,Linear,0.943640897755611,0.9435
Non-Linear,HighCurve,50-50,0.5,PA,Kernel,0.96527428283845,0.9655
Non-Linear,HighCurve,50-50,0.5,Perceptron,Linear,0.9370629370629371,0.937
Non-Linear,HighCurve,50-50,0.5,Perceptron,Kernel,0.9564782391195598,0.9565
Non-Linear,HighCurve,50-50,0.5,AROW,Linear,0.9750499001996008,0.975
Non-Linear,HighCurve,50-50,0.5,AROW,Kernel,0.9553014553014553,0.957
Non-Linear,HighCurve,50-50,0.5,OGC,Linear,0.9626679940268791,0.9625
Non-Linear,HighCurve,50-50,0.5,OGC,Kernel,0.955,0.955
Non-Linear,HighCurve,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,HighCurve,50-50,0.5,SCW,Kernel,0.823966558290757,0.8105
Non-Linear,HighCurve,50-50,0.5,RDA,Linear,0.7152317880794702,0.613
Non-Linear,HighCurve,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,HighCurve,50-50,0.5,AdaRDA,Linear,0.7179109966899595,0.6165
Non-Linear,HighCurve,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,HighCurve,70-30,0.7,PA,Linear,0.9356254572055597,0.912
Non-Linear,HighCurve,70-30,0.7,PA,Kernel,0.9752953813104189,0.9655
Non-Linear,HighCurve,70-30,0.7,Perceptron,Linear,0.9654178674351584,0.952
Non-Linear,HighCurve,70-30,0.7,Perceptron,Kernel,0.9717554522702896,0.9605
