Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,Quadratic,50-50,0.5,OGC,Online,0.6993127147766323,0.65
Non-Separable,Quadratic,50-50,0.5,OGC,Kernel,0.8390977443609022,0.8395
Non-Separable,Quadratic,50-50,0.5,SCW,Online,0.49872773536895676,0.5075
Non-Separable,Quadratic,50-50,0.5,SCW,Kernel,0.7445255474452555,0.79
Non-Separable,Quadratic,50-50,0.5,RDA,Online,0.5602294455066922,0.54
Non-Separable,Quadratic,50-50,0.5,RDA,Kernel,0.44591439688715956,0.288
Non-Separable,Quadratic,50-50,0.5,AdaRDA,Online,0.6675576344804544,0.5025
Non-Separable,Quadratic,50-50,0.5,AdaRDA,Kernel,0.6354515050167224,0.7275
Non-Separable,Quadratic,70-30,0.7,PA,Online,0.5944605208763952,0.5095
Non-Separable,Quadratic,70-30,0.7,PA,Kernel,0.8822055137844611,0.8355
Non-Separable,Quadratic,70-30,0.7,Perceptron,Online,0.7450393111194309,0.6595
Non-Separable,Quadratic,70-30,0.7,Perceptron,Kernel,0.8822055137844611,0.8355
Non-Separable,Quadratic,70-30,0.7,AROW,Online,0.5985944605208764,0.5145
Non-Separable,Quadratic,70-30,0.7,AROW,Kernel,0.8115746971736204,0.72
Non-Separable,Quadratic,70-30,0.7,OGC,Online,0.8299791811242193,0.755
Non-Separable,Quadratic,70-30,0.7,OGC,Kernel,0.8775948460987831,0.829
Non-Separable,Quadratic,70-30,0.7,SCW,Online,0.5669623996620194,0.4875
Non-Separable,Quadratic,70-30,0.7,SCW,Kernel,0.823042836041359,0.7005
Non-Separable,Quadratic,70-30,0.7,RDA,Online,0.677570093457944,0.586
Non-Separable,Quadratic,70-30,0.7,RDA,Kernel,0.7507650459027542,0.6335
Non-Separable,Quadratic,70-30,0.7,AdaRDA,Online,0.8128374325134973,0.688
Non-Separable,Quadratic,70-30,0.7,AdaRDA,Kernel,0.7272089761570828,0.611
Non-Separable,Quadratic,90-10,0.9,PA,Online,0.6489738145789101,0.504
Non-Separable,Quadratic,90-10,0.9,PA,Kernel,0.9491242702251876,0.9085
Non-Separable,Quadratic,90-10,0.9,Perceptron,Online,0.7697772037455602,0.6435
Non-Separable,Quadratic,90-10,0.9,Perceptron,Kernel,0.9491242702251876,0.9085
Non-Separable,Quadratic,90-10,0.9,AROW,Online,0.7022222222222222,0.5645
Non-Separable,Quadratic,90-10,0.9,AROW,Kernel,0.933074146070536,0.8795
Non-Separable,Quadratic,90-10,0.9,OGC,Online,0.9177885992552277,0.8565
