Dataset,Algorithm,Shuffle,F1
HeartDisease_UCI,K-RDA,94,0.5760
HeartDisease_UCI,K-RDA,95,0.6466
HeartDisease_UCI,K-RDA,96,0.5891
HeartDisease_UCI,K-RDA,97,0.6716
HeartDisease_UCI,K-RDA,98,0.6364
HeartDisease_UCI,K-RDA,99,0.6094
HeartDisease_UCI,K-RDA,100,0.6107
HeartDisease_UCI,K-SCW,1,0.7470
HeartDisease_UCI,K-SCW,2,0.6747
HeartDisease_UCI,K-SCW,3,0.6667
HeartDisease_UCI,K-SCW,4,0.6053
HeartDisease_UCI,K-SCW,5,0.7561
HeartDisease_UCI,K-SCW,6,0.7356
HeartDisease_UCI,K-SCW,7,0.7209
HeartDisease_UCI,K-SCW,8,0.7368
HeartDisease_UCI,K-SCW,9,0.7640
HeartDisease_UCI,K-SCW,10,0.6923
HeartDisease_UCI,K-SCW,11,0.7143
HeartDisease_UCI,K-SCW,12,0.7500
HeartDisease_UCI,K-SCW,13,0.6747
HeartDisease_UCI,K-SCW,14,0.7174
HeartDisease_UCI,K-SCW,15,0.7033
HeartDisease_UCI,K-SCW,16,0.7470
HeartDisease_UCI,K-SCW,17,0.6970
HeartDisease_UCI,K-SCW,18,0.7640
HeartDisease_UCI,K-SCW,19,0.7294
HeartDisease_UCI,K-SCW,20,0.7500
HeartDisease_UCI,K-SCW,21,0.7436
HeartDisease_UCI,K-SCW,22,0.6667
HeartDisease_UCI,K-SCW,23,0.7733
HeartDisease_UCI,K-SCW,24,0.6977
HeartDisease_UCI,K-SCW,25,0.7865
HeartDisease_UCI,K-SCW,26,0.6316
HeartDisease_UCI,K-SCW,27,0.7917
HeartDisease_UCI,K-SCW,28,0.7297
HeartDisease_UCI,K-SCW,29,0.7692
HeartDisease_UCI,K-SCW,30,0.7317
HeartDisease_UCI,K-SCW,31,0.7160
HeartDisease_UCI,K-SCW,32,0.6914
HeartDisease_UCI,K-SCW,33,0.6944
HeartDisease_UCI,K-SCW,34,0.7500
HeartDisease_UCI,K-SCW,35,0.7059
HeartDisease_UCI,K-SCW,36,0.7160
HeartDisease_UCI,K-SCW,37,0.7143
HeartDisease_UCI,K-SCW,38,0.7674
